episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
199,1440.0,785,129671,0.1,0.10042916107162529,1133.0724569580052,True,False
200,840.0,580,130251,0.1,0.0939232356589416,1137.707318083034,True,False
201,1020.0,723,130974,0.1,0.0972597362545643,1145.999159708037,True,False
202,570.0,564,131538,0.1,0.10525212139683834,1150.5236497910228,True,False
203,510.0,550,132088,0.1,0.11285809668428871,1155.5356350000366,True,False
204,740.0,605,132693,0.1,0.12253595229904383,1160.647747665993,True,False
205,340.0,422,133115,0.1,0.10432745633380754,1164.1712566660135,True,False
206,2330.0,820,133935,0.1,0.10675696408966692,1171.0808921250282,True,False
207,500.0,478,134413,0.1,0.10517862510556976,1175.4108292080346,True,False
208,380.0,409,134822,0.1,0.102223263012574,1178.9200924999896,True,False
209,970.0,781,135603,0.1,0.09984806927923973,1185.903737207991,True,False
210,1470.0,809,136412,0.1,0.10714266645570694,1193.0536600410123,True,False
211,650.0,582,136994,0.1,0.10727508237649655,1198.3914640410221,True,False
212,530.0,471,137465,0.1,0.09969197504096113,1202.6013609159854,True,False
213,640.0,638,138103,0.1,0.1083876887488665,1208.0449894579942,True,False
214,1290.0,810,138913,0.1,0.10935734421143244,1215.07022545801,True,False
215,360.0,351,139264,0.1,0.12194757514887235,1218.0506307079922,True,False
216,370.0,418,139682,0.1,0.09486426792752284,1221.5845285410178,True,False
217,1130.0,719,140401,0.1,0.10381580329396659,1227.559149415989,True,False
218,340.0,344,140745,0.1,0.10166457057172476,1230.4188674159814,True,False
219,680.0,586,141331,0.1,0.11294928283035142,1235.7597454999923,True,False
220,1280.0,787,142118,0.1,0.10529380433526137,1242.6416198330116,True,False
221,1060.0,864,142982,0.1,0.1065987511969137,1250.062871791015,True,False
222,590.0,571,143553,0.1,0.10439930163271777,1255.2677815409843,True,False
223,630.0,562,144115,0.1,0.12359260999198471,1260.0709186249878,True,False
224,1000.0,728,144843,0.1,0.09457431972067762,1266.0192502909922,True,False
225,650.0,580,145423,0.1,0.09677359969194593,1270.6966205409844,True,False
226,260.0,311,145734,0.1,0.11436513338524562,1274.7473877079901,True,False
227,1400.0,718,146452,0.1,0.11064405354360739,1280.4688174580224,True,False
228,710.0,659,147111,0.1,0.11760806091266071,1285.757995166001,True,False
229,270.0,308,147419,0.1,0.11936615066385114,1288.3041377500049,True,False
230,870.0,632,148051,0.1,0.09529575343609234,1293.2975725409924,True,False
231,1060.0,807,148858,0.1,0.10489057201781485,1300.0996969160042,True,False
232,450.0,471,149329,0.1,0.10658737998140061,1303.9593907910166,True,False
233,540.0,445,149774,0.1,0.10001546894577709,1307.619227999996,True,False
234,520.0,500,150274,0.1,0.1290777599364519,1312.2802794580348,True,False
235,610.0,607,150881,0.1,0.11255230128421988,1317.4917018749984,True,False
236,470.0,625,151506,0.1,0.13390231176685446,1323.1171897500171,True,False
237,890.0,595,152101,0.1,0.11971213853599241,1328.2226238750154,True,False
238,470.0,497,152598,0.1,0.12821538542066852,1332.6628764999914,True,False
239,1810.0,1355,153953,0.1,0.111943040213446,1344.8065495000337,True,False
240,510.0,539,154492,0.1,0.1269504112501939,1349.5593003749964,True,False
241,960.0,710,155202,0.1,0.11786372940671647,1355.5883733329829,True,False
242,470.0,448,155650,0.1,0.11191385846385467,1359.4169569159858,True,False
243,750.0,652,156302,0.1,0.10578783562669725,1364.9258839579998,True,False
244,820.0,690,156992,0.1,0.10288570539196791,1371.0951815409935,True,False
245,970.0,623,157615,0.1,0.10815058240006047,1376.640024541004,True,False
246,960.0,639,158254,0.1,0.12913562890607863,1382.1006490830332,True,False
247,1260.0,653,158907,0.1,0.11063642909556079,1388.064005708031,True,False
248,730.0,588,159495,0.1,0.11838619668214094,1393.2607907910133,True,False
249,1100.0,910,160405,0.1,0.1224638942400353,1401.3105214579846,True,False
250,540.0,435,160840,0.1,0.11475597609073744,1405.3174323749845,True,False
251,580.0,544,161384,0.1,0.09710435907575576,1411.8561807909864,True,False
252,280.0,452,161836,0.1,0.13513793847400002,1417.0289581249817,True,False
253,1910.0,563,162399,0.1,0.11260181115940213,1422.7641790829948,True,False
254,1020.0,610,163009,0.1,0.13758863943318525,1429.709816083021,True,False
255,600.0,502,163511,0.1,0.1002133259922266,1435.6494072499918,True,False
256,940.0,657,164168,0.1,0.11318758783692663,1443.9976777500124,True,False
257,820.0,711,164879,0.1,0.1184613424653219,1457.305485290999,True,False
258,510.0,445,165324,0.1,0.10806734050025366,1461.2210677079856,True,False
259,190.0,278,165602,0.1,0.12175235376301882,1463.5790335410275,True,False
260,560.0,457,166059,0.1,0.11500421411504871,1475.023930416035,True,False
261,260.0,296,166355,0.1,0.10314806825103792,1478.4557541250251,True,False
262,570.0,437,166792,0.1,0.12011582331562584,1482.8771001659916,True,False
263,340.0,388,167180,0.1,0.1064633133331525,1486.1817373750382,True,False
264,730.0,482,167662,0.1,0.1334577403962612,1492.43495575001,True,False
265,730.0,667,168329,0.1,0.11152084122696322,1499.0268650409998,True,False
266,1230.0,790,169119,0.1,0.1172583829800641,1506.9082168330206,True,False
267,660.0,564,169683,0.1,0.12627543646393094,1512.429221041035,True,False
268,1050.0,722,170405,0.1,0.1175112245882249,1525.4118980410276,True,False
269,610.0,577,170982,0.1,0.09854889419188516,1532.337096333038,True,False
270,380.0,446,171428,0.1,0.119676906731911,1538.2472748750006,True,False
271,330.0,495,171923,0.1,0.13320387699982014,1547.066753333027,True,False
272,550.0,462,172385,0.1,0.12672340010838776,1552.8775687910384,True,False
273,880.0,555,172940,0.1,0.13368156134224624,1558.8713408330223,True,False
274,270.0,394,173334,0.1,0.11725184826978616,1562.85149958299,True,False
275,710.0,717,174051,0.1,0.1259996586963118,1570.7971417910303,True,False
276,440.0,522,174573,0.1,0.15144360224709255,1578.2217917499947,True,False
277,580.0,518,175091,0.1,0.12751912754462208,1583.7072320830193,True,False
278,470.0,424,175515,0.1,0.12362770824078119,1587.8134455829859,True,False
279,890.0,637,176152,0.1,0.13524848910747095,1594.1585276250262,True,False
280,550.0,571,176723,0.1,0.13530611274370424,1599.956193791004,True,False
281,340.0,338,177061,0.1,0.1203149545170805,1603.2433097499888,True,False
282,500.0,483,177544,0.1,0.13000545370554137,1609.002690333,True,False
283,530.0,498,178042,0.1,0.14612054934484825,1613.8668772500241,True,False
284,740.0,629,178671,0.1,0.12546056719010423,1620.156156165991,True,False
285,450.0,387,179058,0.1,0.13263419055447137,1623.776968916005,True,False
286,930.0,732,179790,0.1,0.1301424031049176,1641.4665769999847,True,False
287,220.0,340,180130,0.1,0.12438955876757117,1649.516958083026,True,False
288,890.0,636,180766,0.1,0.11700746366672171,1654.761937125004,True,False
289,720.0,548,181314,0.1,0.13395581949148735,1659.7501791660325,True,False
290,700.0,667,181981,0.1,0.1414347956135512,1666.2218690410373,True,False
291,250.0,357,182338,0.1,0.1479740141357264,1669.1758253750158,True,False
292,800.0,651,182989,0.1,0.11704076448329753,1674.4598974999972,True,False
293,580.0,521,183510,0.1,0.12223821256596308,1678.6842223749845,True,False
294,550.0,517,184027,0.1,0.11327473754279835,1682.8558074160246,True,False
295,140.0,316,184343,0.1,0.13134608686536173,1685.4233893330093,True,False
296,580.0,504,184847,0.1,0.138669746927917,1689.6033095830353,True,False
297,1220.0,869,185716,0.1,0.13139999940683808,1696.5821745410212,True,False
298,500.0,610,186326,0.1,0.15527216850559375,1701.5474923329893,True,False
299,280.0,391,186717,0.1,0.14612815021632278,1704.7391406249953,True,False
300,780.0,591,187308,0.1,0.1331720964076954,1709.4704328330117,True,False
301,450.0,453,187761,0.1,0.122605548891346,1715.2566847910057,True,False
302,220.0,358,188119,0.1,0.14006749318724268,1718.2750403750106,True,False
303,460.0,468,188587,0.1,0.14980301652581263,1722.2412177079823,True,False
304,690.0,622,189209,0.1,0.13086718677853545,1727.5018309580046,True,False
305,610.0,560,189769,0.1,0.15071874326760215,1732.3346287910244,True,False
306,380.0,375,190144,0.1,0.15844320787235777,1735.5075225000037,True,False
307,360.0,340,190484,0.1,0.10341577764381381,1738.3192487080232,True,False
308,210.0,292,190776,0.1,0.12654580998757523,1740.8035884579876,True,False
309,980.0,649,191425,0.1,0.14064150442725715,1746.2121088749846,True,False
310,500.0,562,191987,0.1,0.14966592035655465,1751.0379777909839,True,False
311,1210.0,1083,193070,0.1,0.13014824797718946,1760.0376171250246,True,False
312,510.0,403,193473,0.1,0.15997790113681615,1763.4890482909977,True,False
313,390.0,453,193926,0.1,0.13295821842234745,1767.3356780409813,True,False
314,1450.0,626,194552,0.1,0.1594061073936095,1772.5909381250385,True,False
315,290.0,336,194888,0.1,0.16411543156330785,1775.5339246250223,True,False
316,400.0,502,195390,0.1,0.1400943594276905,1779.8206524580019,True,False
317,1150.0,662,196052,0.1,0.14023357419947902,1785.545144625008,True,False
318,980.0,610,196662,0.1,0.1429722916555444,1790.786559375003,True,False
319,390.0,447,197109,0.1,0.14160492005092756,1794.4455060830223,True,False
320,560.0,700,197809,0.1,0.14284425091530595,1800.3686159159988,True,False
321,510.0,551,198360,0.1,0.12289952238400777,1805.2931615000125,True,False
322,590.0,481,198841,0.1,0.1388856705588599,1809.3860866660252,True,False
323,550.0,535,199376,0.1,0.12575073009217852,1814.0646985000349,True,False
324,650.0,501,199877,0.1,0.13266854213178159,1818.3074580000248,True,False
325,380.0,482,200359,0.1,0.13284173693197468,1822.3919635000057,True,False
326,190.0,291,200650,0.1,0.1821433604529051,1827.1449424159946,True,False
327,930.0,683,201333,0.1,0.12651116872609358,1833.8096161250141,True,False
328,1420.0,945,202278,0.1,0.13608693475913952,1842.2868846250349,True,False
329,260.0,389,202667,0.1,0.12219042330980301,1845.896143416001,True,False
330,240.0,294,202961,0.1,0.13292636445446596,1848.8329382500378,True,False
331,260.0,324,203285,0.1,0.1386534242120422,1851.7242614580318,True,False
332,560.0,573,203858,0.1,0.13065080821409925,1856.9487118750112,True,False
333,430.0,370,204228,0.1,0.12339864745335553,1860.1658124999958,True,False
334,830.0,536,204764,0.1,0.13230728029982367,1865.0821842910373,True,False
335,720.0,523,205287,0.1,0.11793891846273954,1870.086172499985,True,False
336,1030.0,948,206235,0.1,0.14479742697459735,1879.1744659999968,True,False
337,300.0,386,206621,0.1,0.1363780062799294,1882.2734974580235,True,False
338,450.0,439,207060,0.1,0.1230335064063018,1886.4098237080034,True,False
339,1850.0,1046,208106,0.1,0.14737253102306205,1896.4276294580195,True,False
340,950.0,745,208851,0.1,0.1301753176576508,1903.347293000028,True,False
341,720.0,779,209630,0.1,0.13591467257684622,1910.8617163749877,True,False
342,500.0,456,210086,0.1,0.09921207909652016,1914.5774387079873,True,False
343,490.0,465,210551,0.1,0.13743498179547745,1918.3127122910228,True,False
344,1000.0,705,211256,0.1,0.1193214329959309,1924.9920829160255,True,False
345,430.0,426,211682,0.1,0.13203120126195675,1928.9567676250008,True,False
346,480.0,410,212092,0.1,0.14449377372426894,1932.791410833015,True,False
347,1900.0,868,212960,0.1,0.12386430074645352,1941.128576499992,True,False
348,570.0,480,213440,0.1,0.10668198955245316,1945.5454202499823,True,False
349,280.0,391,213831,0.1,0.12399718866289891,1949.2385234159883,True,False
